,S,K,T,ANN_price
107889,19396.45,20300.0,16,8.02
166260,21182.7,22400.0,14,5.89
93773,19745.0,19500.0,887,3325.81
80258,18817.4,19800.0,9,4.18
151059,19731.8,20250.0,13,30.82
115035,19611.05,19450.0,15,310.53
160718,20937.7,19450.0,1,1497.46
80415,18817.4,18900.0,23,200.06
103543,19428.3,19100.0,6,413.62
157778,20267.9,21150.0,20,16.59
76431,18755.45,19000.0,31,179.92
93067,19745.0,19800.0,6,123.02
115607,19727.05,20100.0,7,24.5
172711,21441.35,22800.0,30,12.2
78614,18771.25,18850.0,70,446.66
167180,21456.65,22000.0,20,47.03
102921,19543.1,19050.0,7,567.82
141686,19140.9,20400.0,59,50.25
129617,19545.75,19500.0,21,275.26
76459,18755.45,18300.0,38,693.6
79565,18691.2,18450.0,10,337.4
102422,19632.55,20600.0,22,11.5
114819,19611.05,18850.0,1,770.41
103049,19543.1,20150.0,14,23.6
109230,19386.7,19850.0,14,30.84
131877,19689.85,20900.0,23,7.44
173363,21654.75,22000.0,15,82.64
147933,19425.35,20350.0,6,4.46
96607,19646.05,21200.0,34,8.02
105022,19465.0,19500.0,8,124.12
130909,19512.35,20000.0,10,26.36
105715,19365.25,18900.0,7,533.07
84273,19398.5,19500.0,29,232.37
85191,19497.3,19450.0,56,448.78
174988,21731.4,21600.0,13,306.37
155200,19889.7,19850.0,2,125.87
137800,19542.65,19450.0,69,561.28
164491,20906.4,22150.0,16,6.01
103649,19428.3,18950.0,13,593.6
73446,18716.15,17400.0,2,1327.37
158079,20267.9,20800.0,55,180.9
147283,19395.3,18750.0,7,726.39
166674,21182.7,21100.0,77,621.95
139695,18857.25,20500.0,7,1.38
100457,19517.0,19800.0,55,289.15
169827,21150.15,22550.0,15,4.98
169000,21453.1,21850.0,23,98.6
160274,20855.1,21150.0,23,136.49
118803,20070.0,17500.0,106,2906.11
127685,19436.1,20600.0,1,1.23
113695,19528.8,18500.0,10,1056.09
90637,19749.25,18700.0,2,1039.02
136569,19624.7,20800.0,0,0.85
143610,19133.25,20300.0,7,2.54
156997,20133.15,19850.0,14,429.87
174846,21731.4,22050.0,6,36.5
97779,19733.55,19950.0,9,62.4
104308,19434.55,19300.0,10,247.43
75249,18688.1,19100.0,42,165.9
171335,21349.4,19550.0,6,1844.84
99162,19381.65,19400.0,0,88.98
141918,19079.6,20400.0,2,1.06
88595,19413.75,18950.0,7,528.96
94539,19680.6,16650.0,2,3095.05
103812,19428.3,21050.0,20,3.43
126737,19638.3,19300.0,90,847.66
145078,19411.75,18900.0,10,616.78
77890,18856.85,18700.0,71,596.14
89397,19564.5,19400.0,13,283.61
146796,19443.5,21450.0,22,2.74
81356,18972.1,19150.0,64,356.51
112291,19253.8,19750.0,0,5.08
84890,19497.3,19700.0,14,87.58
121452,19901.4,20700.0,36,52.43
101375,19570.85,19550.0,2,115.71
125658,19523.55,20150.0,14,23.95
73706,18716.15,18150.0,16,667.48
128367,19436.1,20300.0,22,21.91
120584,20133.3,20700.0,17,30.16
164954,20906.4,23000.0,380,690.15
153524,19811.85,20600.0,36,50.56
135184,19811.5,21400.0,2,0.8
155576,19889.7,18500.0,30,1518.59
104454,19434.55,20550.0,17,6.22
82729,19322.55,20000.0,59,130.5
153492,19811.85,18800.0,36,1184.98
156716,20133.15,19200.0,0,951.28
114429,19574.9,20800.0,16,5.15
143621,19133.25,20850.0,7,1.32
114919,19611.05,17950.0,8,1668.46
140216,18857.25,20850.0,63,12.62
149302,19675.45,20100.0,1,8.92
167625,21418.65,18500.0,3,2972.7
163497,20997.1,21050.0,10,151.03
143315,18989.15,18500.0,85,975.14
132341,19811.35,19000.0,8,851.37
158063,20267.9,20000.0,55,625.62
134615,19731.75,20600.0,10,6.51
120458,20133.3,20850.0,10,8.54
142992,18989.15,20200.0,22,7.18
139700,18857.25,20750.0,7,1.13
86949,19439.4,18650.0,2,809.41
138347,19281.75,20800.0,31,7.57
151484,19731.8,20200.0,69,271.95
122495,19674.25,21200.0,6,1.47
142263,19079.6,17750.0,30,1473.31
87445,19439.4,20050.0,51,131.25
75803,18826.0,18700.0,34,393.04
102793,19543.1,19200.0,0,396.74
150655,19765.2,19900.0,42,319.87
77801,18856.85,19100.0,36,209.16
166464,21182.7,21200.0,28,307.49
119151,20103.1,19500.0,14,702.55
85141,19497.3,20800.0,28,7.83
149067,19443.55,20250.0,45,80.57
165334,20926.35,21950.0,15,7.39
116168,19819.95,19450.0,6,423.58
101144,19597.3,19600.0,52,417.89
126506,19638.3,19800.0,27,202.53
109596,19386.7,23000.0,126,13.46
166539,21182.7,20150.0,42,1241.29
145932,19406.7,20150.0,16,19.58
92863,19979.15,19650.0,70,723.39
162215,20901.15,20050.0,28,1025.19
76832,18816.7,17950.0,9,887.7
95339,19659.9,17700.0,0,1962.65
136269,19671.1,19950.0,43,249.32
140693,19047.25,19750.0,27,38.59
175517,21731.4,26000.0,90,10.46
173708,21654.75,20600.0,64,1374.23
151256,19731.8,19750.0,27,293.72
78920,18665.5,17500.0,13,1231.97
148589,19443.55,19800.0,3,16.91
100025,19517.0,21000.0,6,1.39
175192,21731.4,20900.0,27,1012.47
172999,21654.75,19600.0,1,2149.67
82526,19322.55,17000.0,24,2361.09
133646,19794.0,20200.0,77,324.19
114133,19528.8,18000.0,115,1959.33
103159,19543.1,19900.0,21,78.65
145663,19411.75,23000.0,416,312.22
130646,19653.5,20500.0,83,166.57
127199,19528.75,18150.0,23,1484.72
147694,19395.3,19700.0,49,259.99
102421,19632.55,20550.0,22,15.6
86706,19355.9,20050.0,52,113.82
158526,20686.8,19500.0,10,1255.39
145843,19406.7,20750.0,9,2.07
141385,19140.9,20750.0,17,2.97
80257,18817.4,19750.0,9,4.62
161967,20901.15,22000.0,14,6.84
170948,21255.05,21900.0,28,59.26
99300,19381.65,19000.0,7,475.06
116580,19819.95,19250.0,48,824.53
87533,19439.4,19150.0,79,738.38
113604,19528.8,19350.0,3,236.87
74497,18755.9,19400.0,22,27.76
116814,19996.35,20650.0,3,5.91
79237,18665.5,18100.0,69,924.0
81643,19189.05,19950.0,13,9.14
91387,19833.15,18500.0,1,1316.16
115598,19727.05,19650.0,7,171.85
165657,20926.35,22400.0,43,15.45
117473,19993.2,20150.0,2,33.2
100904,19597.3,20200.0,17,28.82
173442,21654.75,21750.0,22,243.52
172354,21441.35,19800.0,9,1720.4
133272,19794.0,19700.0,14,263.9
119763,20192.35,18800.0,13,1443.65
110177,19265.8,21200.0,62,12.1
105562,19465.0,21000.0,498,1155.22
163084,20969.4,19600.0,48,1588.78
124975,19716.45,21300.0,22,4.1
120167,20192.35,20100.0,76,585.03
132744,19811.35,21300.0,50,21.23
117157,19996.35,19400.0,24,744.57
155362,19889.7,21000.0,9,3.82
85720,19331.8,18800.0,20,678.14
139349,19122.15,20700.0,64,26.44
153888,19802.0,17800.0,7,2049.67
126730,19638.3,16000.0,90,3856.72
98914,19526.55,19450.0,57,507.23
79787,18691.2,18400.0,31,509.11
133820,19751.05,21250.0,6,1.56
108394,19444.0,19400.0,8,162.27
127240,19528.75,20400.0,23,22.71
170883,21255.05,22550.0,21,7.62
139890,18857.25,19500.0,21,30.21
134611,19731.75,20400.0,10,12.69
153536,19811.85,21200.0,36,12.04
88748,19413.75,19200.0,14,345.39
147543,19395.3,20850.0,21,4.87
95028,19680.6,18700.0,37,1151.67
145314,19411.75,20000.0,24,43.6
168695,21453.1,19850.0,9,1673.78
83110,19389.0,19400.0,9,132.66
162032,20901.15,17900.0,21,3085.2
141525,19140.9,19650.0,31,97.46
143916,19133.25,20700.0,28,6.09
163889,20997.1,17500.0,45,3623.52
135147,19811.5,19550.0,2,314.25
140326,18857.25,18000.0,427,2475.84
152587,19783.4,20650.0,16,10.73
162686,20969.4,20400.0,13,702.13
93353,19745.0,20200.0,20,55.78
141819,19140.9,22000.0,150,49.49
88186,19384.3,18800.0,50,860.28
133900,19751.05,18550.0,13,1261.95
100661,19597.3,18500.0,3,1097.87
100568,19517.0,20500.0,83,133.79
169780,21150.15,19250.0,15,2066.02
126296,19638.3,20150.0,13,29.43
75583,18826.0,18500.0,13,434.7
151863,19694.0,20050.0,17,71.67
123092,19674.25,21000.0,461,1203.71
150929,19731.8,20450.0,6,6.38
142029,19079.6,19600.0,9,24.08
136101,19671.1,20950.0,15,4.17
81800,19189.05,18100.0,27,1192.02
147149,19395.3,18800.0,0,644.2
88588,19413.75,18600.0,7,848.72
120984,19901.4,20350.0,1,7.86
82898,19322.55,21000.0,178,213.34
120576,20133.3,20200.0,17,177.43
96558,19646.05,18500.0,34,1278.05
84644,19497.3,20450.0,0,1.98
91104,19749.25,17900.0,44,1985.2
82317,19322.55,18300.0,10,1051.19
170512,21255.05,16000.0,7,5288.9
124392,19664.7,19800.0,37,284.36
94989,19680.6,19600.0,30,355.44
161171,20937.7,21800.0,22,26.12
100837,19597.3,21500.0,10,1.72
139346,19122.15,20550.0,64,37.04
106195,19365.25,19650.0,70,340.94
100985,19597.3,19450.0,24,360.73
161927,20901.15,19950.0,14,1054.38
74376,18755.9,18900.0,15,117.76
171342,21349.4,19900.0,6,1506.21
154540,19794.7,19700.0,6,193.17
98636,19526.55,21100.0,15,2.68
164604,20906.4,20800.0,23,347.7
101812,19570.85,19550.0,30,322.63
155923,20096.6,18950.0,1,1203.16
154269,19802.0,19000.0,35,995.27
89545,19564.5,20800.0,20,6.19
77321,18816.7,20000.0,555,1494.96
140028,18857.25,18850.0,35,371.17
111782,19347.45,20500.0,8,2.73
140074,18857.25,21150.0,35,4.12
114303,19574.9,18300.0,9,1297.81
114320,19574.9,19300.0,9,372.53
126122,19523.55,21000.0,455,1097.09
169896,21150.15,21100.0,22,356.66
152588,19783.4,20700.0,16,9.29
152200,19694.0,20900.0,66,66.01
155215,19889.7,20600.0,2,5.17
121977,19742.35,19600.0,14,317.73
135555,19811.5,18800.0,44,1200.77
132602,19811.35,19950.0,22,185.97
81801,19189.05,18150.0,27,1144.44
159863,20855.1,20200.0,2,710.45
102105,19632.55,21200.0,1,0.61
151882,19694.0,21000.0,17,5.29
160414,20855.1,21100.0,30,201.78
110292,19306.05,17500.0,3,1823.73
106201,19365.25,20000.0,70,187.16
146446,19443.5,20400.0,1,2.83
140929,19047.25,20250.0,62,61.43
166197,21182.7,19250.0,14,2014.34
102680,19632.55,20300.0,78,205.02
131977,19689.85,20200.0,51,179.55
152707,19783.4,19900.0,30,258.03
173952,21778.7,22850.0,0,2.85
169271,21453.1,21800.0,72,354.32
148607,19443.55,20700.0,3,1.21
148728,19443.55,21050.0,10,1.92
90391,19711.45,20000.0,45,233.65
86707,19355.9,20100.0,52,103.56
93481,19745.0,19200.0,41,821.66
129487,19545.75,18700.0,14,914.01
155792,19889.7,20300.0,58,237.37
94614,19680.6,20950.0,2,1.15
134138,19751.05,21200.0,27,7.24
75807,18826.0,19000.0,34,228.8
123564,19674.55,19800.0,31,247.69
165857,21182.7,18850.0,0,2327.28
115295,19611.05,21050.0,50,21.62
87200,19439.4,18450.0,16,1056.12
