,S,K,T,ANN_price
166965,21456.65,19550.0,13,1959.15
98280,19733.55,16000.0,149,4072.44
127042,19528.75,21400.0,9,1.42
91035,19749.25,19650.0,23,307.17
161950,20901.15,21150.0,14,104.61
107944,19396.45,20000.0,23,31.26
90669,19749.25,20300.0,2,5.63
144765,19230.6,20900.0,55,17.84
138379,19281.75,18500.0,38,1010.53
111652,19347.45,21150.0,1,0.3
129794,19545.75,18000.0,56,1748.86
145197,19411.75,19550.0,17,160.99
84267,19398.5,19000.0,29,589.8
133946,19751.05,20900.0,13,5.15
123339,19674.55,21700.0,10,1.56
119192,20103.1,21550.0,14,2.85
97903,19733.55,21300.0,16,2.89
165648,20926.35,21950.0,43,43.87
108935,19386.7,18850.0,0,570.78
92383,19979.15,20600.0,7,8.38
156696,20133.15,18200.0,0,1930.49
96058,19659.9,21400.0,63,21.27
99340,19381.65,21000.0,7,1.44
128359,19436.1,20100.0,22,29.77
90661,19749.25,19900.0,2,32.95
80353,18817.4,19750.0,16,6.79
85374,19497.3,15000.0,175,4828.48
107877,19396.45,19400.0,16,198.27
136298,19671.1,21400.0,43,8.91
140689,19047.25,19550.0,27,73.1
124978,19716.45,21450.0,22,3.6
108129,19396.45,19750.0,65,281.63
151203,19731.8,21250.0,20,4.31
138003,19281.75,20800.0,3,0.91
120700,20133.3,21150.0,31,22.05
83690,19389.0,16000.0,177,3795.26
127041,19528.75,21350.0,9,1.47
162043,20901.15,18950.0,21,2045.71
124959,19716.45,20200.0,22,48.01
132098,19689.85,21150.0,79,55.43
139113,19122.15,19100.0,29,322.22
134059,19751.05,20650.0,20,15.51
74743,18688.1,17250.0,0,1433.32
98700,19526.55,20950.0,22,5.3
165724,20926.35,19000.0,78,2203.77
125342,19523.55,17900.0,0,1640.76
129817,19545.75,19750.0,56,330.96
101414,19570.85,21500.0,2,0.43
161153,20937.7,20900.0,22,297.23
117708,19993.2,19500.0,16,613.85
148995,19443.55,19750.0,31,166.71
169565,21150.15,16500.0,8,4697.0
137308,19542.65,19350.0,6,277.53
87970,19384.3,18900.0,15,601.98
96843,19646.05,18500.0,153,1792.17
171306,21349.4,13000.0,6,8190.0
123825,19664.7,17900.0,2,1797.37
174681,21778.7,22700.0,63,116.13
153050,19811.85,20700.0,1,3.53
168136,21418.65,22450.0,24,20.31
172634,21441.35,18000.0,30,3543.16
117842,19993.2,20000.0,23,252.02
173947,21778.7,22600.0,0,4.98
130070,19653.5,19150.0,6,562.01
140788,19047.25,20700.0,34,7.3
88105,19384.3,20000.0,22,30.07
82463,19322.55,20400.0,17,6.46
134805,19731.75,20850.0,24,10.05
131010,19512.35,19200.0,17,477.13
78752,18665.5,17200.0,6,1498.23
133404,19794.0,20550.0,21,26.37
106372,19310.15,21000.0,6,1.16
115122,19611.05,19500.0,22,314.47
174437,21778.7,19150.0,28,2725.15
163217,20969.4,21300.0,83,403.59
118810,20070.0,23000.0,106,14.54
158536,20686.8,19800.0,10,965.11
157531,20267.9,19400.0,6,906.71
153681,19811.85,15000.0,127,5042.77
87526,19439.4,18750.0,79,1072.41
137832,19542.65,21100.0,69,32.09
127329,19528.75,18150.0,30,1519.61
138213,19281.75,19800.0,17,33.49
110648,19306.05,17800.0,31,1613.11
150859,19765.2,23000.0,224,97.51
172161,21441.35,19800.0,2,1710.35
157892,20267.9,21550.0,27,8.59
89954,19711.45,20100.0,3,13.08
79388,18691.2,17750.0,3,933.26
105170,19465.0,20650.0,15,5.06
95016,19680.6,17600.0,37,2195.46
143179,18989.15,18300.0,57,1012.79
147310,19395.3,20100.0,7,7.25
76048,18755.45,17850.0,3,937.14
92522,19979.15,19950.0,14,195.7
168699,21453.1,20050.0,9,1469.88
142048,19079.6,20550.0,9,1.96
80363,18817.4,20300.0,16,2.85
74033,18716.15,20000.0,107,116.42
106091,19365.25,19750.0,42,188.05
114333,19574.9,19950.0,9,30.73
109506,19386.7,18000.0,63,1630.09
106968,19393.6,19100.0,3,333.22
75223,18688.1,17500.0,42,1352.65
102322,19632.55,21300.0,15,2.7
154419,19802.0,21200.0,63,37.11
147143,19395.3,18500.0,0,925.23
87228,19439.4,19900.0,16,31.25
98523,19526.55,20650.0,8,3.25
117027,19996.35,19250.0,17,832.86
75254,18688.1,19500.0,42,59.06
92496,19979.15,18000.0,14,1995.87
148998,19443.55,20900.0,31,7.86
109669,19265.8,18850.0,6,482.49
165795,20926.35,23000.0,106,43.47
165735,20926.35,20900.0,78,578.33
142655,18989.15,19200.0,1,29.64
140010,18857.25,17850.0,35,1207.84
110946,19342.65,18100.0,2,1232.18
87237,19439.4,20350.0,16,8.12
80099,18817.4,20200.0,2,0.82
154902,19794.7,19200.0,34,804.15
83611,19389.0,19300.0,86,617.81
113895,19528.8,20550.0,24,11.4
149784,19675.45,18300.0,43,1560.19
155585,19889.7,19100.0,30,956.24
175339,21731.4,21400.0,34,614.62
122499,19674.25,21400.0,6,1.24
154571,19794.7,21250.0,6,1.59
156897,20133.15,20650.0,7,17.08
128623,19436.1,21000.0,29,6.63
86328,19355.9,18600.0,10,808.44
160862,20937.7,19100.0,8,1863.76
121264,19901.4,20350.0,15,39.43
143586,19133.25,19100.0,7,166.99
148945,19443.55,20700.0,24,7.38
148836,19443.55,20800.0,17,4.29
124019,19664.7,20450.0,9,6.58
153782,19802.0,20200.0,0,8.75
85904,19331.8,19200.0,34,419.72
151164,19731.8,19300.0,20,606.52
111132,19342.65,20350.0,9,4.38
162102,20901.15,21900.0,21,14.61
79739,18691.2,20000.0,24,6.31
144618,19230.6,21350.0,27,3.24
94367,19672.35,18000.0,66,1921.56
121439,19901.4,20050.0,36,287.99
120835,20133.3,19600.0,73,926.32
141869,19079.6,17950.0,2,1188.37
108805,19444.0,19950.0,64,211.01
104401,19434.55,17050.0,17,2413.45
117038,19996.35,19800.0,17,348.85
163133,20969.4,22350.0,48,26.76
104168,19434.55,18250.0,3,1180.35
175018,21731.4,23100.0,13,4.27
87708,19384.3,19500.0,1,38.52
89425,19564.5,20800.0,13,3.58
102430,19632.55,21000.0,22,5.92
123688,19674.55,19200.0,66,844.34
109107,19386.7,20750.0,7,1.64
74780,18688.1,19100.0,0,4.57
171192,21255.05,22750.0,70,52.55
84156,19398.5,19300.0,22,295.82
124016,19664.7,20300.0,9,12.34
166460,21182.7,21000.0,28,441.14
170874,21255.05,22100.0,21,28.16
126387,19638.3,19550.0,20,293.88
93473,19745.0,18800.0,41,1161.89
145115,19411.75,20750.0,10,2.42
102776,19543.1,18300.0,0,1253.35
172947,21441.35,23000.0,366,896.33
112004,19347.45,20450.0,29,13.22
111318,19342.65,19150.0,30,426.07
162342,20901.15,22200.0,49,33.05
137269,19624.7,20000.0,434,1688.96
156396,20096.6,21300.0,29,12.2
130634,19653.5,19700.0,83,539.38
123336,19674.55,21550.0,10,1.71
121359,19901.4,21500.0,22,4.24
137037,19624.7,20100.0,42,154.31
80931,18972.1,17650.0,8,1342.62
97992,19733.55,18800.0,30,1066.71
123754,19674.55,18000.0,94,2017.76
79307,18665.5,19000.0,97,412.23
90623,19749.25,17850.0,2,1879.63
157995,20267.9,20150.0,34,405.48
75831,18826.0,18550.0,41,544.59
144975,19411.75,19700.0,3,25.27
103280,19543.1,20850.0,28,7.87
105857,19365.25,19550.0,14,103.83
163324,20997.1,19400.0,3,1627.82
78476,18771.25,16800.0,35,2099.21
166048,21182.7,20200.0,7,1039.19
164737,20906.4,19350.0,44,1754.83
122007,19742.35,21100.0,14,3.49
155718,19889.7,20000.0,37,294.69
137260,19624.7,22000.0,252,265.71
111760,19347.45,19400.0,8,117.19
142774,18989.15,18800.0,8,321.37
124395,19664.7,19950.0,37,208.11
111344,19342.65,20450.0,30,14.07
171046,21255.05,22000.0,35,67.38
165280,20926.35,19250.0,15,1734.04
152656,19783.4,20100.0,23,120.26
171055,21255.05,22450.0,35,24.71
78147,18771.25,17200.0,7,1609.81
160880,20937.7,20200.0,8,818.8
162091,20901.15,21350.0,21,69.44
151766,19694.0,21300.0,10,2.15
110641,19306.05,13000.0,31,6210.29
163060,20969.4,22250.0,34,16.45
121114,19901.4,19400.0,8,611.43
126741,19638.3,19600.0,90,632.2
172666,21441.35,20500.0,30,1135.61
121143,19901.4,20850.0,8,5.2
115026,19611.05,18900.0,15,795.79
124891,19716.45,21500.0,15,2.54
73839,18716.15,18800.0,23,201.36
76485,18755.45,19750.0,38,26.16
143562,19133.25,17500.0,7,1672.22
170566,21255.05,20900.0,7,477.62
88887,19413.75,20450.0,21,8.71
93218,19745.0,19500.0,13,403.85
171865,21349.4,22700.0,34,14.61
155970,20096.6,21300.0,1,1.33
141078,19047.25,18000.0,426,2602.52
171163,21255.05,20800.0,70,898.51
117376,19996.35,17000.0,108,3292.12
160235,20855.1,19200.0,23,1766.98
123149,19674.55,19600.0,3,155.85
171641,21349.4,19600.0,20,1861.39
126882,19528.75,19650.0,2,53.49
97775,19733.55,19750.0,9,139.44
162315,20901.15,20850.0,49,473.23
95052,19680.6,19900.0,37,243.92
167574,21456.65,26000.0,104,11.4
79806,18691.2,19350.0,31,44.42
103573,19428.3,20600.0,6,2.11
145700,19406.7,19450.0,2,89.61
89231,19564.5,18300.0,6,1255.76
97271,19753.8,18200.0,31,1653.48
117339,19996.35,20500.0,80,275.87
80803,18972.1,19950.0,0,1.76
74875,18688.1,17600.0,7,1113.89
129266,19545.75,19850.0,0,13.91
126837,19638.3,20000.0,454,1755.59
175400,21731.4,21750.0,62,492.6
104826,19434.55,20000.0,136,468.91
88399,19384.3,18000.0,533,3128.08
118765,20070.0,20700.0,78,214.16
84432,19398.5,19500.0,85,497.36
163794,20997.1,21300.0,24,134.01
113126,19435.3,20550.0,13,4.87
151580,19694.0,18000.0,3,1747.12
99299,19381.65,18950.0,7,522.24
146221,19406.7,21000.0,51,17.67
112316,19253.8,21000.0,0,0.1
97181,19753.8,21000.0,17,5.22
86032,19331.8,17000.0,83,2602.51
129936,19545.75,20100.0,84,279.72
110051,19265.8,20650.0,34,10.75
138721,19122.15,19850.0,1,4.51
144742,19230.6,19750.0,55,182.8
120428,20133.3,19350.0,10,844.1
120935,20133.3,23000.0,465,571.12
88977,19413.75,18800.0,49,870.89
115287,19611.05,20050.0,50,190.78
127105,19528.75,19300.0,16,393.75
125305,19716.45,19000.0,274,1862.13
98037,19733.55,21250.0,30,7.14
109380,19386.7,18100.0,35,1436.29
100435,19517.0,18000.0,55,1712.81
113121,19435.3,20300.0,13,6.75
82323,19322.55,18600.0,10,771.59
119998,20192.35,20400.0,27,175.72
106327,19310.15,18750.0,6,623.21
131733,19689.85,19250.0,16,575.22
120314,20133.3,20800.0,3,5.66
156095,20096.6,20600.0,8,22.22
168138,21418.65,22550.0,24,12.12
140369,19047.25,18800.0,6,346.65
101019,19597.3,21200.0,24,4.69
155461,19889.7,21150.0,16,5.04
123593,19674.55,21400.0,31,5.95
174826,21731.4,21050.0,6,767.13
123141,19674.55,19200.0,3,530.62
146197,19406.7,19750.0,51,253.21
82123,19189.05,19000.0,181,1146.62
149795,19675.45,19150.0,43,800.46
137247,19624.7,24000.0,161,15.54
99180,19381.65,20300.0,0,2.66
161102,20937.7,15000.0,22,5920.1
88720,19413.75,17800.0,14,1658.85
174671,21778.7,22100.0,63,327.36
149294,19675.45,19700.0,1,92.18
125546,19523.55,20450.0,7,4.63
131734,19689.85,19300.0,16,530.69
125775,19523.55,21500.0,21,2.65
80470,18817.4,18200.0,30,782.39
152704,19783.4,19700.0,30,370.27
139338,19122.15,20150.0,64,82.14
119671,20192.35,21500.0,6,1.75
155904,20096.6,17800.0,1,2379.47
94362,19672.35,13000.0,66,6673.73
109381,19386.7,18200.0,35,1341.42
107136,19393.6,21000.0,10,1.86
134617,19731.75,20700.0,10,5.59
137685,19542.65,19950.0,41,177.95
126747,19638.3,19900.0,90,440.58
110564,19306.05,20350.0,17,6.76
137244,19624.7,21000.0,161,263.1
125059,19716.45,19950.0,29,178.04
136523,19624.7,18500.0,0,1133.07
99598,19381.65,19200.0,28,426.26
157895,20267.9,22000.0,27,4.99
90660,19749.25,19850.0,2,50.3
157016,20133.15,20800.0,14,21.24
135303,19811.5,20950.0,9,3.52
94601,19680.6,20300.0,2,5.64
98802,19526.55,21200.0,29,5.52
118570,20070.0,21450.0,22,5.98
141439,19140.9,19300.0,24,202.14
122439,19674.25,18350.0,6,1378.47
110888,19306.05,19000.0,122,960.49
157329,20133.15,20100.0,35,365.08
77341,18856.85,17500.0,1,1343.48
104781,19434.55,20700.0,73,61.53
81351,18972.1,18900.0,64,507.42
126876,19528.75,19350.0,2,250.59
168285,21418.65,22500.0,38,31.1
94574,19680.6,18950.0,2,771.19
83803,19398.5,20350.0,1,2.33
135992,19671.1,21400.0,8,1.38
113896,19528.8,20600.0,24,10.35
110990,19342.65,20500.0,2,1.26
166548,21182.7,20600.0,42,854.98
142973,18989.15,19150.0,22,189.22
108861,19444.0,13000.0,127,6579.77
110653,19306.05,18300.0,31,1143.28
133533,19794.0,20400.0,49,140.25
117234,19996.35,19550.0,45,714.6
82065,19189.05,24000.0,90,9.82
144701,19230.6,20650.0,34,10.84
131725,19689.85,18800.0,16,975.6
104765,19434.55,19350.0,73,566.87
74111,18755.9,18250.0,1,536.52
153448,19811.85,20800.0,29,22.69
118625,20070.0,21500.0,29,7.85
112321,19253.8,21250.0,0,-0.16
161160,20937.7,21250.0,22,123.79
166974,21456.65,20000.0,13,1539.41
89274,19564.5,20450.0,6,4.42
138512,19281.75,18000.0,66,1572.37
104929,19465.0,20650.0,1,1.07
92878,19979.15,20400.0,70,269.35
94612,19680.6,20850.0,2,1.37
172576,21441.35,21300.0,23,394.61
92686,19979.15,20000.0,28,267.9
93826,19672.35,19450.0,3,294.77
124215,19664.7,21300.0,23,4.18
123310,19674.55,20250.0,10,18.42
133393,19794.0,19950.0,21,175.37
131246,19512.35,19850.0,52,262.14
172406,21441.35,22600.0,9,5.12
93464,19745.0,18000.0,41,1921.25
138834,19122.15,18450.0,8,748.85
154555,19794.7,20450.0,6,7.48
162701,20969.4,21150.0,13,125.16
109591,19386.7,18500.0,126,1464.56
112306,19253.8,20500.0,0,0.67
169133,21453.1,20900.0,37,811.53
173742,21654.75,22850.0,64,77.74
165155,20926.35,21050.0,8,105.33
93019,19745.0,16600.0,6,3189.98
147435,19395.3,20850.0,14,2.78
126403,19638.3,20600.0,20,10.13
142775,18989.15,18850.0,8,275.53
84773,19497.3,19650.0,7,68.47
130513,19653.5,18900.0,55,1020.09
125742,19523.55,19550.0,21,245.48
114233,19574.9,20450.0,2,3.56
86479,19355.9,19500.0,17,135.16
107939,19396.45,19500.0,23,195.36
170067,21150.15,21050.0,36,483.14
164628,20906.4,22000.0,23,11.13
138378,19281.75,18400.0,38,1095.91
117594,19993.2,20350.0,9,31.46
84158,19398.5,19400.0,22,239.52
163130,20969.4,22200.0,48,37.57
135966,19671.1,20100.0,8,23.78
86499,19355.9,20500.0,17,5.78
139312,19122.15,18800.0,64,725.43
172413,21441.35,22950.0,9,2.51
114342,19574.9,20400.0,9,6.31
120411,20133.3,18200.0,10,1975.04
127390,19528.75,19800.0,58,313.37
102549,19632.55,17000.0,50,2766.12
128597,19436.1,20000.0,29,63.96
166094,21182.7,22500.0,7,2.58
117499,19993.2,21450.0,2,0.87
114201,19574.9,18800.0,2,783.51
171860,21349.4,22450.0,34,27.34
124486,19664.7,21000.0,93,87.19
73566,18716.15,17100.0,9,1618.79
152775,19783.4,19650.0,37,448.15
80727,18972.1,11000.0,0,7777.58
127578,19528.75,19000.0,450,2319.89
167631,21418.65,19350.0,3,2087.88
98683,19526.55,19450.0,22,310.59
102182,19632.55,18950.0,8,732.86
78501,18771.25,18450.0,35,569.35
103500,19543.1,21000.0,231,474.71
117847,19993.2,20300.0,23,109.12
151478,19731.8,19850.0,69,445.6
107104,19393.6,19400.0,10,149.21
110607,19306.05,19150.0,24,360.15
80215,18817.4,17550.0,9,1277.72
156570,20096.6,20300.0,57,338.28
125401,19523.55,20900.0,0,0.5
133799,19751.05,20200.0,6,19.52
163340,20997.1,20250.0,3,802.18
127395,19528.75,20050.0,58,200.08
110452,19306.05,18650.0,10,725.03
169282,21453.1,22600.0,72,94.79
112617,19253.8,19350.0,21,193.09
154931,19794.7,20650.0,34,34.6
171646,21349.4,20650.0,20,859.88
132362,19811.35,20050.0,8,58.95
156719,20133.15,19350.0,0,808.61
132100,19689.85,23000.0,79,9.31
166793,21456.65,19700.0,6,1813.97
153535,19811.85,21150.0,36,12.77
124479,19664.7,16000.0,93,3888.42
110316,19306.05,19100.0,3,264.24
149041,19443.55,18900.0,45,818.29
105993,19365.25,20550.0,21,6.95
147331,19395.3,21150.0,7,1.35
151070,19731.8,20800.0,13,5.9
74339,18755.9,13500.0,15,5183.77
92505,19979.15,19100.0,14,925.15
153183,19811.85,20750.0,8,5.14
150097,19765.2,20550.0,0,4.31
153788,19802.0,20500.0,0,4.61
99762,19381.65,20150.0,56,115.39
157668,20267.9,20400.0,13,126.1
133015,19794.0,20550.0,0,4.18
139691,18857.25,20300.0,7,1.6
149504,19675.45,17600.0,15,2143.19
130042,19545.75,21000.0,448,1079.3
123801,19674.55,22000.0,458,736.31
89660,19564.5,18800.0,48,985.0
160142,20855.1,21150.0,16,92.59
165181,20926.35,22350.0,8,2.12
92636,19979.15,20500.0,21,35.41
125636,19523.55,18550.0,14,1067.24
91583,19833.15,20550.0,8,6.64
99013,19526.55,19100.0,85,912.46
136179,19671.1,21100.0,22,5.26
149419,19675.45,19900.0,8,68.43
129754,19545.75,20800.0,28,10.06
152176,19694.0,19200.0,66,888.03
91722,19833.15,20400.0,15,27.32
149092,19443.55,25000.0,45,4.59
78061,18771.25,19900.0,0,0.69
102956,19543.1,20800.0,7,1.79
89249,19564.5,19200.0,6,413.66
133282,19794.0,20200.0,14,40.75
126075,19523.55,21000.0,91,71.96
99281,19381.65,18050.0,7,1356.75
171356,21349.4,20600.0,6,827.61
155232,19889.7,21450.0,2,0.86
85725,19331.8,19050.0,20,457.51
91596,19833.15,21200.0,8,1.89
98804,19526.55,21300.0,29,4.7
172827,21441.35,20500.0,65,1278.47
94536,19680.6,16400.0,2,3253.66
96338,19646.05,18850.0,13,856.88
131232,19512.35,19150.0,52,708.19
120953,19901.4,18700.0,1,1276.24
128337,19436.1,19550.0,22,198.95
132994,19794.0,19500.0,0,358.95
160263,20855.1,20600.0,23,470.55
156060,20096.6,18600.0,8,1514.52
99727,19381.65,17000.0,56,2561.65
91559,19833.15,19350.0,8,539.13
133139,19794.0,19450.0,7,440.37
117053,19996.35,20550.0,17,30.35
83920,19398.5,19400.0,8,134.46
154461,19802.0,20000.0,126,657.36
144009,19133.25,16000.0,56,3284.52
147631,19395.3,19400.0,28,300.41
155625,19889.7,21100.0,30,11.9
164162,20906.4,20550.0,2,438.41
78751,18665.5,17100.0,6,1600.19
110350,19306.05,20800.0,3,0.88
145819,19406.7,19550.0,9,101.17
98154,19733.55,20450.0,58,126.33
123831,19664.7,18500.0,2,1192.91
83235,19389.0,19850.0,16,30.63
157337,20133.15,20600.0,35,126.22
107552,19393.6,22000.0,129,32.14
166237,21182.7,21250.0,14,181.59
101248,19597.3,19450.0,80,653.92
120256,20192.35,17000.0,468,4422.35
150905,19731.8,19250.0,6,574.03
136905,19624.7,19450.0,21,365.9
151529,19731.8,16000.0,132,4057.48
99728,19381.65,17500.0,56,2081.46
150331,19765.2,18400.0,14,1444.8
100894,19597.3,19550.0,17,247.84
139677,18857.25,19600.0,7,6.2
92527,19979.15,20200.0,14,82.02
131496,19689.85,19250.0,2,496.51
136522,19624.7,18450.0,0,1182.03
154265,19802.0,18700.0,35,1265.15
94731,19680.6,18650.0,9,1083.0
74235,18755.9,18250.0,8,569.84
153160,19811.85,19600.0,8,324.08
132669,19811.35,20200.0,29,121.58
126993,19528.75,18900.0,9,703.93
97663,19733.55,20750.0,2,2.2
168289,21418.65,22700.0,38,22.41
114228,19574.9,20200.0,2,5.55
147487,19395.3,17750.0,21,1751.82
157227,20133.15,21550.0,28,7.8
112318,19253.8,21100.0,0,-0.0
151350,19731.8,19550.0,41,509.16
86787,19355.9,18700.0,80,1051.33
155592,19889.7,19450.0,30,647.01
139519,18857.25,19300.0,0,7.48
77901,18856.85,19500.0,71,175.91
93753,19745.0,14000.0,524,6869.86
113897,19528.8,20650.0,24,9.58
100144,19517.0,21000.0,13,2.49
119810,20192.35,21250.0,13,5.91
173444,21654.75,21850.0,22,194.08
83785,19398.5,19450.0,1,58.31
94191,19672.35,21400.0,24,3.92
138883,19122.15,20900.0,8,1.38
133622,19794.0,17000.0,77,3030.66
164600,20906.4,20200.0,23,870.47
120438,20133.3,19850.0,10,389.23
153039,19811.85,20150.0,1,13.47
99338,19381.65,20900.0,7,1.56
169354,21453.1,20000.0,191,2222.67
169900,21150.15,21300.0,22,234.89
76169,18755.45,15500.0,10,3279.48
167507,21456.65,21650.0,76,447.0
94554,19680.6,17850.0,2,1824.69
94187,19672.35,21000.0,24,7.02
109658,19265.8,18300.0,6,989.97
115139,19611.05,20350.0,22,26.15
157412,20133.15,21150.0,56,70.31
75379,18688.1,15000.0,196,4121.42
160037,20855.1,21800.0,9,6.28
155724,19889.7,20300.0,37,153.34
152657,19783.4,20150.0,23,99.66
83747,19398.5,17550.0,1,1903.01
170510,21255.05,14000.0,7,7140.42
87226,19439.4,19800.0,16,50.11
139514,18857.25,19050.0,0,32.15
125535,19523.55,19900.0,7,26.06
75329,18688.1,18750.0,77,486.82
93840,19672.35,20150.0,3,7.98
154506,19794.7,17400.0,6,2430.25
103800,19428.3,20450.0,20,8.86
115576,19727.05,18450.0,7,1279.05
110154,19265.8,19250.0,62,476.59
75461,18826.0,19350.0,6,10.24
169816,21150.15,22000.0,15,20.24
137543,19542.65,19950.0,20,59.79
111628,19347.45,19950.0,1,5.17
122400,19742.35,19000.0,462,2510.93
148541,19425.35,18500.0,412,2470.88
81333,18972.1,17200.0,64,1977.63
114414,19574.9,19450.0,16,285.81
78008,18771.25,17250.0,0,1519.58
138855,19122.15,19500.0,8,29.19
145181,19411.75,18700.0,17,825.17
78488,18771.25,17700.0,35,1225.56
130335,19653.5,20550.0,20,14.46
130782,19512.35,19550.0,3,100.33
87235,19439.4,20250.0,16,10.48
88726,19413.75,18100.0,14,1367.69
158193,20267.9,25000.0,118,11.85
143071,18989.15,20150.0,29,13.97
124520,19664.7,20000.0,275,1192.8
97658,19733.55,20500.0,2,4.35
107078,19393.6,17800.0,10,1606.55
161611,20901.15,18800.0,0,2116.87
169997,21150.15,22500.0,29,12.41
75565,18826.0,17550.0,13,1303.99
146648,19443.5,19000.0,15,571.22
89275,19564.5,20500.0,6,3.98
100956,19597.3,16900.0,24,2761.4
134204,19751.05,20150.0,48,214.55
105133,19465.0,18800.0,15,749.05
129829,19545.75,20400.0,56,98.48
148601,19443.55,20400.0,3,3.17
166196,21182.7,19200.0,14,2061.41
121720,19742.35,21500.0,0,0.28
96949,19753.8,20650.0,3,3.6
73898,18716.15,18350.0,44,634.17
175187,21731.4,20650.0,27,1239.86
87114,19439.4,20800.0,9,2.03
143029,18989.15,17900.0,29,1240.19
112861,19253.8,21250.0,56,10.24
159080,20686.8,21750.0,24,17.84
142602,19079.6,22000.0,240,147.72
131148,19512.35,20450.0,24,21.08
161928,20901.15,20000.0,14,1009.77
117747,19993.2,21450.0,16,3.04
148942,19443.55,20550.0,24,9.98
81416,18972.1,15000.0,92,4148.28
126676,19638.3,21000.0,62,39.43
102554,19632.55,18400.0,50,1420.85
172369,21441.35,20750.0,9,805.12
106100,19365.25,20200.0,42,58.97
131847,19689.85,19200.0,23,659.29
128923,19436.1,17000.0,85,2713.88
99016,19526.55,19400.0,85,679.03
143603,19133.25,19950.0,7,5.61
121697,19742.35,20350.0,0,5.27
90301,19711.45,19100.0,24,743.84
142294,19079.6,19450.0,30,145.84
153453,19811.85,21250.0,29,7.82
84741,19497.3,18050.0,7,1439.37
82176,19322.55,17400.0,3,1897.19
157014,20133.15,20700.0,14,29.04
171026,21255.05,21000.0,35,566.4
143728,19133.25,20350.0,14,4.46
151272,19731.8,20700.0,27,22.98
121283,19901.4,21300.0,15,3.48
169993,21150.15,22250.0,29,26.13
114432,19574.9,20950.0,16,3.8
158954,20686.8,18200.0,24,2555.91
134717,19731.75,19850.0,17,163.11
117439,19993.2,18100.0,2,1944.12
142425,19079.6,18900.0,58,595.6
115587,19727.05,19100.0,7,668.72
125403,19523.55,21000.0,0,0.39
131350,19512.35,19650.0,80,484.86
116574,19819.95,18600.0,48,1398.46
96243,19646.05,20650.0,6,3.54
88945,19413.75,21000.0,28,5.75
87860,19384.3,20100.0,8,6.41
136556,19624.7,20150.0,0,5.25
160885,20937.7,20450.0,8,592.08
162108,20901.15,22200.0,21,7.46
133019,19794.0,20750.0,0,2.58
117606,19993.2,20950.0,9,5.01
164691,20906.4,21800.0,30,30.51
120673,20133.3,21700.0,24,4.93
100478,19517.0,21000.0,55,25.73
108963,19386.7,20250.0,0,2.83
160724,20937.7,19750.0,1,1243.23
92854,19979.15,19000.0,70,1266.33
106461,19310.15,19000.0,13,430.88
163125,20969.4,21950.0,48,69.88
77393,18856.85,20200.0,1,0.79
119038,20103.1,20750.0,7,8.15
74759,18688.1,18050.0,0,657.69
159280,20686.8,20200.0,31,727.24
97174,19753.8,20600.0,17,10.11
102561,19632.55,19100.0,50,815.34
150625,19765.2,18100.0,42,1825.41
133383,19794.0,19450.0,21,524.52
87668,19384.3,17400.0,1,2063.76
173870,21778.7,18700.0,0,3057.39
172933,21441.35,25000.0,184,48.96
110966,19342.65,19300.0,2,117.51
79964,18691.2,21000.0,94,17.34
165926,21182.7,22400.0,0,1.41
162100,20901.15,21800.0,21,23.38
153201,19811.85,21650.0,8,1.49
131040,19512.35,20700.0,17,5.76
147290,19395.3,19100.0,7,401.68
137154,19624.7,19850.0,70,370.24
102202,19632.55,19950.0,8,34.09
87414,19439.4,18100.0,51,1526.1
160589,20855.1,20400.0,86,949.18
133121,19794.0,18500.0,7,1339.83
156496,20096.6,20350.0,36,222.1
96357,19646.05,19800.0,13,108.71
74391,18755.9,19700.0,15,6.55
130802,19512.35,20550.0,3,2.51
94886,19680.6,20400.0,16,20.66
111108,19342.65,19100.0,9,339.33
139533,18857.25,20000.0,0,0.93
88974,19413.75,18600.0,49,1038.14
88480,19413.75,20400.0,0,1.73
173711,21654.75,21000.0,64,1039.51
100915,19597.3,21300.0,17,2.83
100550,19517.0,19000.0,83,961.79
175080,21731.4,21100.0,20,795.01
74029,18716.15,16000.0,107,3011.03
173516,21654.75,19500.0,29,2292.21
149284,19675.45,19200.0,1,525.29
103332,19543.1,20300.0,49,99.52
170306,21150.15,15000.0,372,6933.68
161146,20937.7,20550.0,22,578.42
117945,19993.2,20600.0,44,118.64
86793,19355.9,19050.0,80,759.31
78050,18771.25,19350.0,0,4.52
140928,19047.25,20200.0,62,67.2
145085,19411.75,19250.0,10,297.08
136566,19624.7,20650.0,0,1.62
151479,19731.8,19900.0,69,414.22
154076,19802.0,21200.0,14,2.98
104165,19434.55,18000.0,3,1454.15
75012,18688.1,17750.0,14,1001.16
147941,19425.35,20750.0,6,1.68
166029,21182.7,19100.0,7,2132.13
152413,19783.4,17900.0,9,1940.49
77335,18856.85,17100.0,1,1791.06
103161,19543.1,20000.0,21,50.83
123330,19674.55,21250.0,10,2.03
94275,19672.35,20450.0,38,58.56
167669,21418.65,21400.0,3,147.09
155506,19889.7,19750.0,23,347.08
149083,19443.55,21050.0,45,11.82
84128,19398.5,17850.0,22,1616.05
113114,19435.3,19850.0,13,31.76
86057,19331.8,19900.0,83,269.75
168007,21418.65,20750.0,17,821.38
171668,21349.4,21850.0,20,55.67
149833,19675.45,21050.0,43,18.92
