Index Name,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield,TIMESTAMP
Nifty 50,18368.35,18508.55,18333.15,18499.35,178.2,.97,198668359,19094.08,21.54,4.33,1.34,2023-05-26
Nifty Next 50,41225.5,41710.85,41186.35,41684.7,471.4,1.14,255688893,9422.18,27.5,4.64,1.47,2023-05-26
Nifty 100,18256.15,18400.7,18223.3,18393.05,179.45,.99,454357252,28516.26,22.38,4.42,1.34,2023-05-26
Nifty 200,9619.75,9695.4,9606,9690.95,92.25,.96,966902082,37921.62,22.47,4.14,1.33,2023-05-26
Nifty 500,15589.5,15704,15567.85,15696.75,141.5,.91,1555175547,47282.85,22.41,4.11,1.31,2023-05-26
Nifty Midcap 50,9342.15,9435.3,9340.45,9428.6,96.6,1.04,297277265,5490.66,22.66,2.74,1.31,2023-05-26
NIFTY Midcap 100,33199.8,33454.75,33180,33425.1,268.0,.81,512544830,9405.36,23.01,2.97,1.26,2023-05-26
NIFTY Smallcap 100,9985.15,10024.2,9967.65,10010.8,52.85,.53,384718714,4286.2,18.33,3.07,1.4,2023-05-26
Nifty50 Dividend Points,-,-,-,45.48,0.0,-,-,-,-,-,-,2023-05-26
Nifty Auto,14063.4,14150,14017.65,14130.45,100.95,.72,53994145,2695.33,29.62,5.47,.94,2023-05-26
Nifty Bank,43765.35,44067.6,43588.8,44018.0,336.6,.77,143222738,6120.71,16.42,2.86,.58,2023-05-26
Nifty Energy,24164.05,24270.45,24098.3,24238.9,167.2,.69,58632313,2648.16,12.15,2.22,3.13,2023-05-26
Nifty Financial Services,19276.5,19391.45,19200.65,19370.5,131.2,.68,75200503,8225.66,18.1,3.76,.95,2023-05-26
Nifty FMCG,49802.7,50425.15,49654.6,50388.0,731.0,1.47,26956302,2265.77,43.51,12.52,1.27,2023-05-26
Nifty IT,28975.95,29384.85,28975.95,29355.9,427.15,1.48,17548870,2926.93,25.53,8.22,2.36,2023-05-26
Nifty Media,1685.05,1736,1684.95,1729.95,37.95,2.24,63830834,1087.66,-,2.66,.74,2023-05-26
Nifty Metal,5888.65,5948.4,5876.45,5935.4,62.85,1.07,133426293,2994.01,16.14,1.88,4.26,2023-05-26
Nifty MNC,20480.7,20683.9,20459.9,20667.75,248.2,1.22,37443519,2926.21,37.32,7.54,2.55,2023-05-26
Nifty Pharma,12447.55,12628.15,12414.4,12601.55,146.05,1.17,17410932,1487.02,31.91,4.3,1.03,2023-05-26
Nifty PSU Bank,3975.8,4023.75,3973.1,4017.2,47.95,1.21,98688834,1401.2,7.56,1.07,1.32,2023-05-26
Nifty Realty,467.7,473.9,464.8,472.55,5.85,1.25,26687665,766.22,37.89,3.52,.3,2023-05-26
Nifty India Consumption,7819.2,7871.8,7800.75,7867.8,58.95,.75,106398467,8050.68,39.33,8.55,.95,2023-05-26
Nifty Commodities,5818.6,5864.8,5810.2,5860.7,60.05,1.04,145735825,5394.42,15.22,2.24,2.79,2023-05-26
Nifty Dividend Opportunities 50,4062.75,4096.55,4062.75,4094.85,38.4,.95,314832562,7567.68,15.93,2.89,3.49,2023-05-26
Nifty Infrastructure,5437.65,5462.25,5424.85,5459.9,44.2,.82,122438802,5989.7,21.44,3.08,1.38,2023-05-26
Nifty PSE,4811.45,4823,4789.1,4804.9,0.15,0,148369899,2223.05,8.88,1.53,4.67,2023-05-26
Nifty Services Sector,24028.65,24172.7,23965.3,24151.95,168.85,.7,117374580,12364.5,20.3,4.27,1.38,2023-05-26
Nifty50 Shariah,-,-,-,3881.91,39.88,1.04,75382952,5509.39,22.61,5.18,2.36,2023-05-26
Nifty500 Shariah,-,-,-,5191.72,48.84,.95,404324726,19181.37,25.99,5.16,1.69,2023-05-26
Nifty Low Volatility 50,-,-,-,16684.45,148.0,.89,118197930,14322.87,29.01,5.07,1.49,2023-05-26
Nifty Alpha 50,28634.85,28868.85,28613.1,28844.55,284.5,1,274609530,6347.76,15.46,2.42,1.32,2023-05-26
Nifty High Beta 50,-,-,-,2315.33,15.36,.67,520755170,12826.77,16.97,1.88,1.66,2023-05-26
Nifty100 Equal Weight,20974.95,21144.65,20948.4,21134.3,186.65,.89,454357252,28516.26,24.39,4.48,1.44,2023-05-26
Nifty100 Liquid 15,4780.9,4825,4777.65,4821.5,50.85,1.07,80464089,6897.16,22.45,3.72,.81,2023-05-26
Nifty CPSE,3135.35,3142.7,3116.9,3131.6,-2.25,-.07,57936929,804.94,7.66,1.77,5.92,2023-05-26
Nifty50 Value 20,9526.85,9606.65,9526.85,9601.15,88.9,.93,100786005,4828.28,18.65,4.1,2.8,2023-05-26
Nifty Midcap Liquid 15,7885.3,7975.8,7884.5,7968.4,77.0,.98,82919758,2377.59,24.01,3.15,.71,2023-05-26
Nifty Shariah 25,-,-,-,6318.44,57.46,.92,66152103,5978.71,22.15,5.79,2.26,2023-05-26
India VIX,12.52,12.8575,11.7,11.9,-0.62,-4.95,-,-,-,-,-,2023-05-26
Nifty Growth Sectors 15,9164.05,9278.8,9154.55,9271.4,124.7,1.36,43128171,3705.99,33.89,8.58,1.7,2023-05-26
Nifty50 TR 1x Inverse,212.05,212.45,210.4,210.5,-2.05,-.96,-,-,-,-,-,2023-05-26
Nifty50 TR 2x Leverage,12487.65,12677.55,12440,12665.3,239.55,1.93,-,-,-,-,-,2023-05-26
Nifty50 PR 1x Inverse,251.15,251.65,249.25,249.35,-2.4,-.95,-,-,-,-,-,2023-05-26
Nifty50 PR 2x Leverage,8883.7,9018.8,8849.8,9010.1,170.45,1.93,-,-,-,-,-,2023-05-26
NIFTY100 Quality 30,4118.9,4163.45,4118.65,4161.6,48.55,1.18,59329846,8339.47,26.87,8.33,1.93,2023-05-26
Nifty Mahindra Group,-,-,-,18441.35,89.44,.49,10588822,884.48,17.69,3.89,1.99,2023-05-26
Nifty 50 Futures TR Index,-,-,-,19801.83,166.92,.85,-,-,-,-,-,2023-05-26
Nifty Tata Group,-,-,-,13207.83,141.57,1.08,57466114,2716.47,33.65,7.83,2,2023-05-26
Nifty Tata Group 25% Cap,-,-,-,10699.6,119.66,1.13,52946954,2536.39,36.46,4.94,1.58,2023-05-26
Nifty Private Bank,22231.35,22391.1,22131.5,22361.8,172.45,.78,99479711,5157.04,17.42,2.79,.6,2023-05-26
Nifty Smallcap 250,9786.25,9817.2,9761.3,9804.15,45.0,.46,550124350,7534.8,19.12,3.24,1.25,2023-05-26
Nifty Smallcap 50,4508.25,4549.3,4502.7,4545.2,43.85,.97,298863379,2746.76,18.29,3.15,1.97,2023-05-26
Nifty MidSmallcap 400,11469.9,11536,11460.5,11525.6,75.75,.66,1099644585,18735.2,22.48,3.33,1.19,2023-05-26
Nifty Midcap 150,12407.35,12495.6,12397.25,12486.85,94.7,.76,549520235,11200.4,24.69,3.37,1.16,2023-05-26
Nifty Midcap Select,7666.25,7745.4,7660.65,7740.45,82.6,1.08,113530739,3010.16,33.13,3.22,.76,2023-05-26
NIFTY LargeMidcap 250,10365.5,10442.6,10355.45,10437.5,90.3,.87,1003877487,39716.67,23.5,3.82,1.25,2023-05-26
NIFTY SME EMERGE,-,-,-,7107.18,-37.99,-.53,-,-,52.59,4.83,.1,2023-05-26
Nifty Oil & Gas,7575.65,7593.05,7546.2,7581.45,38.45,.51,50229295,2413.14,13.92,1.84,2.99,2023-05-26
Nifty Financial Services 25/50,18771.95,18896.5,18725.6,18878.05,136.5,.73,75200503,8225.66,16.39,3.74,1.07,2023-05-26
Nifty Healthcare Index,8061.95,8165.55,8040.55,8149.35,90.5,1.12,22137074,1828.99,36.02,4.9,.71,2023-05-26
Nifty500 Multicap 50:25:25,10250.85,10316.7,10240,10310.1,81.4,.8,1555175547,47282.85,21.96,3.78,1.27,2023-05-26
Nifty Microcap 250,11855.5,11898.6,11853.05,11861.35,49.7,.42,606815931,3913.89,20.87,2.17,.97,2023-05-26
Nifty Total Market,8693.45,8755.9,8682.15,8751.8,77.75,.9,2161991478,51196.75,22.37,4.01,1.3,2023-05-26
Nifty India Digital,5477.95,5543.5,5475.35,5535.2,65.8,1.2,219718415,6713.59,142.64,7.79,1.3,2023-05-26
Nifty Mobility,-,-,-,11746.93,76.2,.65,178389297,5906.07,34.8,5.14,1,2023-05-26
Nifty India Defence,-,-,-,2359.96,13.37,.57,15045741,800.52,28.08,6.32,1.05,2023-05-26
Nifty Financial Services Ex-Bank,-,-,-,17451.18,102.53,.59,54702482,4269.76,18.36,4.21,1.45,2023-05-26
Nifty Housing,-,-,-,7878.69,37.24,.47,297703011,11948.09,21.84,3.15,1.3,2023-05-26
Nifty Transportation & Logistics,-,-,-,13298.25,79.67,.6,153715282,4218.33,33.34,5.62,.82,2023-05-26
Nifty MidSmall Financial Services,-,-,-,9004.88,39.74,.44,180244559,2246.34,11.86,1.77,1.59,2023-05-26
Nifty MidSmall Healthcare,-,-,-,21718.38,95.04,.44,39682682,1268.53,34.98,3.71,.84,2023-05-26
Nifty MidSmall IT & Telecom,-,-,-,6816.71,90.1,1.34,96718311,2270.3,440.98,32.71,1.14,2023-05-26
Nifty MidSmall India Consumption,-,-,-,11293.21,120.63,1.08,71584191,2811.48,50.61,6.23,.59,2023-05-26
Nifty REITs & InvITs,-,-,-,997.85,0.13,.01,3416095,74.4,58.57,1.12,8.3,2023-05-26
Nifty Core Housing,-,-,-,11044.75,63.36,.58,48139270,4282.82,27.82,4.43,.81,2023-05-26
Nifty Consumer Durables,25456.05,25683,25412.25,25625.2,188.65,.74,6501866,834.87,58.94,10.88,.59,2023-05-26
Nifty Non-Cyclical Consumer,-,-,-,11187.27,109.97,.99,189067786,7841.6,55.66,10.99,.8,2023-05-26
Nifty India Manufacturing,8551.65,8635.95,8543.2,8630.9,86.4,1.01,181131616,10860.02,26.57,4.04,1.58,2023-05-26
NIFTY100 Alpha 30,-,-,-,11213.05,112.74,1.02,126797812,10059.96,18.07,4.07,1.49,2023-05-26
NIFTY500 Value 50,-,-,-,7359.95,30.12,.41,364359954,4928.22,7.73,1.23,4.89,2023-05-26
Nifty100 Low Volatility 30,13759.05,13896.15,13751.4,13888.1,151.5,1.1,89458329,9582.18,26.59,5.18,1.68,2023-05-26
NIFTY Alpha Low-Volatility 30,17851.75,18031.1,17830.4,18018.0,153.6,.86,91269445,10204.39,22.22,5.03,1.53,2023-05-26
NIFTY Quality Low-Volatility 30,-,-,-,12955.9,87.77,.68,56270420,8233.73,27.7,7.06,1.99,2023-05-26
NIFTY Alpha Quality Low-Volatility 30,-,-,-,14965.1,112.63,.76,57706260,7911.03,21.07,6.09,2,2023-05-26
NIFTY Alpha Quality Value Low-Volatility 30,-,-,-,12337.11,124.39,1.02,71532667,5423.13,15.24,4.25,2.7,2023-05-26
NIFTY200 Quality 30,15061.95,15218.75,15061.8,15211.9,109.05,.72,46156887,6249.18,26.34,9.43,2.29,2023-05-26
NIFTY Midcap150 Quality 50,16565.1,16677.85,16527.1,16671.55,58.5,.35,22327350,4196.75,30.29,7.7,1.81,2023-05-26
Nifty200 Momentum 30,20107.3,20276.75,20079.2,20262.65,203.15,1.01,225554279,8566.83,17.16,3.18,1.21,2023-05-26
Nifty100 ESG Sector Leaders,2947.8,2974.65,2943.1,2973.35,32.3,1.1,157964007,15388.42,25.45,4.74,1.28,2023-05-26
Nifty200 Alpha 30,-,-,-,14227.94,127.77,.91,212630132,6290.93,14.7,2.55,1.36,2023-05-26
Nifty Midcap150 Momentum 50,-,-,-,34388.41,428.64,1.26,258330658,5786.28,21.5,2.92,.7,2023-05-26
Nifty Smallcap250 Quality 50,-,-,-,16567.94,68.27,.41,44795643,1722.14,21.36,4.55,1.6,2023-05-26
NIFTY100 ESG,3443.55,3474.7,3440.25,3472.85,35.15,1.02,366435288,22842.54,27.13,5.43,1.38,2023-05-26
NIFTY100 Enhanced ESG,-,-,-,3504.05,35.75,1.03,352769454,22216.57,27.69,5.45,1.36,2023-05-26
NIFTY50 Equal Weight,21290.95,21441.65,21270.7,21428.85,176.7,.83,198668359,19094.08,20.76,4.14,1.65,2023-05-26
Nifty 50 Futures Index,-,-,-,5624.17,46.34,.83,-,-,-,-,-,2023-05-26
Nifty 50 Arbitrage,-,-,-,2153.04,2.09,.1,-,-,-,-,-,2023-05-26
Nifty Aditya Birla Group,-,-,-,5379.89,43.98,.82,91680153,931.33,151.57,5.5,.56,2023-05-26
Nifty 8-13 yr G-Sec,2448.92,2450.12,2447,2448.83,0.37,.02,-,-,-,-,-,2023-05-26
Nifty 4-8 yr G-Sec Index,2650.95,2651.95,2650.12,2651.66,1.22,.05,-,-,-,-,-,2023-05-26
Nifty 11-15 yr G-Sec Index,2690.06,2691.63,2688.62,2691.05,1.51,.06,-,-,-,-,-,2023-05-26
Nifty 15 yr and above G-Sec Index,2963.72,2963.96,2960.71,2962.56,-0.58,-.02,-,-,-,-,-,2023-05-26
Nifty Composite G-sec Index,2526.69,2527.56,2525.33,2527.12,0.91,.04,-,-,-,-,-,2023-05-26
Nifty 10 yr Benchmark G-Sec,2171.31,2173.26,2169.08,2171.83,0.93,.04,-,-,-,-,-,2023-05-26
Nifty 10 yr Benchmark G-Sec (Clean Price),882.77,883.58,881.84,882.98,0.21,.02,-,-,-,-,-,2023-05-26
Nifty 1D Rate Index,-,-,-,2136.63,0.37,.02,-,-,-,-,-,2023-05-26
Nifty50 USD,-,-,-,7763.01,90.34,1.18,-,-,-,-,-,2023-05-26
Nifty 50,18619.15,18641.2,18581.25,18598.65,99.3,.54,265323978,19237.57,21.65,4.35,1.34,2023-05-29
Nifty Next 50,41980.5,41996.95,41840.25,41925.3,240.6,.58,206837889,8084.5,27.7,4.67,1.46,2023-05-29
Nifty 100,18512.5,18532.25,18472.6,18490.25,97.2,.53,472161867,27322.07,22.5,4.44,1.34,2023-05-29
Nifty 200,9751.2,9761.5,9730.6,9740.15,49.2,.51,1069199339,35559.61,22.58,4.16,1.33,2023-05-29
Nifty 500,15791.75,15805.75,15758.15,15772.35,75.6,.48,1756013937,45448.94,22.53,4.13,1.3,2023-05-29
Nifty Midcap 50,9468.6,9478.7,9419.9,9470.35,41.75,.44,275017366,4775.88,22.72,2.75,1.3,2023-05-29
NIFTY Midcap 100,33574.25,33613.65,33427.1,33551.0,125.9,.38,597037472,8237.54,23.08,2.98,1.26,2023-05-29
NIFTY Smallcap 100,10052.6,10068,10014.35,10040.6,29.8,.3,452948128,4096.07,18.39,3.08,1.39,2023-05-29
Nifty50 Dividend Points,-,-,-,45.48,0.0,-,-,-,-,-,-,2023-05-29
Nifty Auto,14254.85,14315.35,14158,14219.6,89.15,.63,41961864,3072.56,29.39,5.5,.93,2023-05-29
Nifty Bank,44276.8,44483.35,44193.95,44311.9,293.9,.67,148580468,6899.27,16.53,2.88,.58,2023-05-29
Nifty Energy,24258.4,24314,24150.6,24261.3,22.4,.09,102763309,3364.18,12.16,2.22,3.13,2023-05-29
Nifty Financial Services,19516.95,19614.1,19476.5,19532.7,162.2,.84,105612318,9350.24,18.25,3.79,.94,2023-05-29
Nifty FMCG,50633.15,50850.25,50501.9,50626.4,238.4,.47,29663834,2026.34,43.94,12.58,1.26,2023-05-29
Nifty IT,29629.75,29659.6,29200.25,29240.2,-115.7,-.39,13613973,1952.7,25.43,8.19,2.37,2023-05-29
Nifty Media,1743.6,1745.25,1724.35,1738.45,8.5,.49,37205875,342.9,-,2.67,.74,2023-05-29
Nifty Metal,5973.3,6016.25,5956.3,5991.2,55.8,.94,121497656,2661.56,16.29,1.89,4.22,2023-05-29
Nifty MNC,20777.1,20789.5,20651.95,20676.95,9.2,.04,34474023,2421.31,36.65,7.55,2.55,2023-05-29
Nifty Pharma,12634.75,12644.2,12487,12624.2,22.65,.18,23144727,1832.92,31.97,4.31,1.03,2023-05-29
Nifty PSU Bank,4048.55,4064.7,4024.65,4040.65,23.45,.58,108895531,1838.59,7.61,1.08,1.31,2023-05-29
Nifty Realty,474.85,479.2,471,476.2,3.65,.77,19320127,755.15,38.18,3.54,.29,2023-05-29
Nifty India Consumption,7920.25,7938,7891.45,7924.7,56.9,.72,76141034,6109.47,39.88,8.61,.95,2023-05-29
Nifty Commodities,5879.05,5911.2,5863.8,5903.75,43.05,.73,192616602,5931.26,15.33,2.26,2.77,2023-05-29
Nifty Dividend Opportunities 50,4116.7,4119.2,4097.7,4102.75,7.9,.19,352920352,7867.39,15.96,2.9,3.48,2023-05-29
Nifty Infrastructure,5479.35,5482.4,5457.75,5475.0,15.1,.28,150305210,6342.43,21.42,3.08,1.38,2023-05-29
Nifty PSE,4810.1,4829.65,4776.95,4813.1,8.2,.17,246537234,3638.06,8.9,1.53,4.67,2023-05-29
Nifty Services Sector,24338.8,24382.4,24242.15,24271.55,119.6,.5,145752677,13100.92,20.4,4.29,1.37,2023-05-29
Nifty50 Shariah,-,-,-,3883.28,1.37,.04,116207050,5104.64,22.62,5.18,2.36,2023-05-29
Nifty500 Shariah,-,-,-,5198.49,6.77,.13,453671418,17151.65,26.05,5.17,1.68,2023-05-29
Nifty Low Volatility 50,-,-,-,16754.61,70.16,.42,132529321,13132.65,29.18,5.09,1.49,2023-05-29
Nifty Alpha 50,29049.6,29115.75,28946.55,29033.9,189.35,.66,426967696,7011.8,15.56,2.44,1.31,2023-05-29
Nifty High Beta 50,-,-,-,2336.25,20.92,.9,484186516,11350.27,17.11,1.9,1.63,2023-05-29
Nifty100 Equal Weight,21258,21279.1,21202.85,21235.15,100.85,.48,472161867,27322.07,24.52,4.5,1.43,2023-05-29
Nifty100 Liquid 15,4853.7,4861.05,4839.5,4850.7,29.2,.61,97962664,6945.78,22.58,3.74,.81,2023-05-29
Nifty CPSE,3124.15,3137.9,3099.9,3124.45,-7.15,-.23,112167272,1590.66,7.64,1.76,5.93,2023-05-29
Nifty50 Value 20,9654.4,9667.75,9608.45,9617.1,15.95,.17,159145315,5316.68,18.68,4.1,2.8,2023-05-29
Nifty Midcap Liquid 15,8014.4,8023.8,7965.95,8012.45,44.05,.55,48585126,1834.37,24.02,3.16,.71,2023-05-29
Nifty Shariah 25,-,-,-,6314.96,-3.48,-.06,99991530,5171.28,22.14,5.78,2.26,2023-05-29
India VIX,11.9,12.4925,8.8075,12.3,0.4,3.34,-,-,-,-,-,2023-05-29
Nifty Growth Sectors 15,9317.35,9336.55,9265.4,9291.2,19.8,.21,46650039,3743.76,33.73,8.6,1.69,2023-05-29
Nifty50 TR 1x Inverse,209.25,209.7,209,209.5,-1.0,-.48,-,-,-,-,-,2023-05-29
Nifty50 TR 2x Leverage,12822.75,12852.45,12771.6,12794.75,129.45,1.02,-,-,-,-,-,2023-05-29
Nifty50 PR 1x Inverse,247.9,248.4,247.6,248.15,-1.2,-.48,-,-,-,-,-,2023-05-29
Nifty50 PR 2x Leverage,9122.1,9143.2,9085.7,9102.15,92.05,1.02,-,-,-,-,-,2023-05-29
NIFTY100 Quality 30,4186,4189.2,4163.7,4167.05,5.45,.13,62279847,7247.21,26.91,8.34,1.93,2023-05-29
Nifty Mahindra Group,-,-,-,18850.75,409.41,2.22,14504798,1236.04,18.09,3.97,1.94,2023-05-29
Nifty 50 Futures TR Index,-,-,-,19920.3,118.47,.6,-,-,-,-,-,2023-05-29
Nifty Tata Group,-,-,-,13262.94,55.11,.42,74341456,2464.42,33.79,7.87,1.99,2023-05-29
Nifty Tata Group 25% Cap,-,-,-,10798.91,99.31,.93,69645710,2308.95,36.8,4.99,1.57,2023-05-29
Nifty Private Bank,22469.85,22561.8,22420.35,22452.45,90.65,.41,117026975,5683.72,17.49,2.8,.6,2023-05-29
Nifty Smallcap 250,9854.2,9857.05,9809.65,9831.8,27.65,.28,620678349,7633.99,19.19,3.25,1.24,2023-05-29
Nifty Smallcap 50,4561.4,4567.6,4536.7,4553.0,7.8,.17,360596759,2700.99,18.36,3.15,1.96,2023-05-29
Nifty MidSmallcap 400,11578.3,11582.95,11528.15,11563.35,37.75,.33,1282020177,18077.98,22.56,3.34,1.19,2023-05-29
Nifty Midcap 150,12540.6,12550.35,12485.05,12530.7,43.85,.35,661341828,10443.99,24.79,3.38,1.16,2023-05-29
Nifty Midcap Select,7764.8,7768.45,7719.55,7759.6,19.15,.25,111331096,3024.14,32.61,3.23,.76,2023-05-29
NIFTY LargeMidcap 250,10493.7,10502.65,10466,10483.25,45.75,.44,1133503695,37766.06,23.61,3.83,1.25,2023-05-29
NIFTY SME EMERGE,-,-,-,7049.31,-57.87,-.81,-,-,52.17,4.79,.1,2023-05-29
Nifty Oil & Gas,7562.3,7576.75,7520.8,7540.35,-41.1,-.54,73063928,2464.97,13.84,1.83,3.01,2023-05-29
Nifty Financial Services 25/50,19048.6,19186.8,19017.95,19088.05,210.0,1.11,105612318,9350.24,16.58,3.78,1.05,2023-05-29
Nifty Healthcare Index,8173.25,8178.4,8095.65,8166.35,17.0,.21,23670921,1956.14,36.09,4.91,.71,2023-05-29
Nifty500 Multicap 50:25:25,10367.75,10373.85,10341.75,10353.5,43.4,.42,1756013937,45448.94,22.06,3.79,1.27,2023-05-29
Nifty Microcap 250,11942.4,11960.2,11894.3,11913.7,52.35,.44,519194035,3883.27,20.87,2.18,.97,2023-05-29
Nifty Total Market,8804.95,8812.8,8786,8793.9,42.1,.48,2275207972,49332.21,22.48,4.03,1.29,2023-05-29
Nifty India Digital,5567.6,5574.5,5525.4,5536.0,0.8,.01,180831096,4267.62,142.66,7.79,1.3,2023-05-29
Nifty Mobility,-,-,-,11806.37,59.44,.51,136621702,5945.52,34.47,5.16,.99,2023-05-29
Nifty India Defence,-,-,-,2374.49,14.53,.62,15230807,676.62,28.75,6.36,1.01,2023-05-29
Nifty Financial Services Ex-Bank,-,-,-,17669.11,217.94,1.25,72377399,4755.93,18.59,4.26,1.43,2023-05-29
Nifty Housing,-,-,-,7938.42,59.73,.76,428923443,12402.89,22.01,3.17,1.29,2023-05-29
Nifty Transportation & Logistics,-,-,-,13385.15,86.89,.65,114702793,4538.97,33.14,5.66,.81,2023-05-29
Nifty MidSmall Financial Services,-,-,-,9077.77,72.89,.81,308735038,3099.2,11.95,1.78,1.57,2023-05-29
Nifty MidSmall Healthcare,-,-,-,21752.31,33.92,.16,32927914,1355.89,34.97,3.72,.84,2023-05-29
Nifty MidSmall IT & Telecom,-,-,-,6795.02,-21.69,-.32,98017118,1038.05,439.57,32.61,1.15,2023-05-29
Nifty MidSmall India Consumption,-,-,-,11308.6,15.39,.14,31244806,1765.98,52.8,6.24,.59,2023-05-29
Nifty REITs & InvITs,-,-,-,997.76,-0.09,-.01,1773007,32.95,58.56,1.12,8.3,2023-05-29
Nifty Core Housing,-,-,-,11152.15,107.41,.97,57549911,3431.83,28.09,4.48,.81,2023-05-29
Nifty Consumer Durables,25720.55,25993.15,25694.5,25955.35,330.15,1.29,7657351,882.04,59.8,11.02,.58,2023-05-29
Nifty Non-Cyclical Consumer,-,-,-,11252.04,64.78,.58,121658745,5241.14,56.64,11.06,.79,2023-05-29
Nifty India Manufacturing,8679.55,8683.3,8641.55,8677.75,46.85,.54,176315604,9476.37,26.59,4.07,1.57,2023-05-29
NIFTY100 Alpha 30,-,-,-,11285.83,72.78,.65,157419091,11270.7,18.19,4.1,1.48,2023-05-29
NIFTY500 Value 50,-,-,-,7400.28,40.33,.55,439985561,6251.88,7.77,1.23,4.86,2023-05-29
Nifty100 Low Volatility 30,13958.8,13975.05,13907.25,13925.15,37.05,.27,97752849,9181.25,26.66,5.2,1.68,2023-05-29
NIFTY Alpha Low-Volatility 30,18138.2,18148.55,18082,18118.65,100.65,.56,126425214,9829.83,22.38,5.05,1.53,2023-05-29
NIFTY Quality Low-Volatility 30,-,-,-,12980.97,25.08,.19,60928811,6172.97,27.82,7.08,1.99,2023-05-29
NIFTY Alpha Quality Low-Volatility 30,-,-,-,15021.64,56.54,.38,74229318,6035.94,21.18,6.11,2,2023-05-29
NIFTY Alpha Quality Value Low-Volatility 30,-,-,-,12380.0,42.9,.35,103211293,5403.31,15.3,4.26,2.69,2023-05-29
NIFTY200 Quality 30,15305.3,15310.9,15227.45,15242.9,31.0,.2,49810729,4333.97,26.46,9.45,2.29,2023-05-29
NIFTY Midcap150 Quality 50,16728.85,16745.5,16675.1,16724.7,53.15,.32,23089326,2435.94,30.67,7.72,1.8,2023-05-29
Nifty200 Momentum 30,20394.25,20422.4,20308.2,20397.45,134.8,.67,283558302,9834.15,17.27,3.2,1.2,2023-05-29
Nifty100 ESG Sector Leaders,2993.2,2996.45,2979.9,2983.55,10.2,.34,181000859,15090.3,25.54,4.76,1.28,2023-05-29
Nifty200 Alpha 30,-,-,-,14339.07,111.13,.78,268973656,7394.7,14.81,2.57,1.35,2023-05-29
Nifty Midcap150 Momentum 50,-,-,-,34518.13,129.73,.38,365767495,3923.43,21.62,2.94,.69,2023-05-29
Nifty Smallcap250 Quality 50,-,-,-,16591.61,23.67,.14,54416380,1370.32,21.51,4.55,1.59,2023-05-29
NIFTY100 ESG,3498.3,3501.7,3485.55,3489.9,17.05,.49,356490310,23009.67,27.26,5.45,1.37,2023-05-29
NIFTY100 Enhanced ESG,-,-,-,3520.87,16.82,.48,334292946,22373.83,27.82,5.47,1.35,2023-05-29
NIFTY50 Equal Weight,21540.15,21572.35,21488.2,21536.7,107.85,.5,265323978,19237.57,20.87,4.16,1.64,2023-05-29
Nifty 50 Futures Index,-,-,-,5654.57,30.4,.54,-,-,-,-,-,2023-05-29
Nifty 50 Arbitrage,-,-,-,2153.36,0.32,.01,-,-,-,-,-,2023-05-29
Nifty Aditya Birla Group,-,-,-,5450.05,70.16,1.3,99392955,754.94,153.54,5.57,.55,2023-05-29
Nifty 8-13 yr G-Sec,2450.23,2450.3,2446.77,2446.82,-2.95,-.12,-,-,-,-,-,2023-05-29
Nifty 4-8 yr G-Sec Index,2653.18,2653.41,2650.12,2650.12,-2.55,-.1,-,-,-,-,-,2023-05-29
Nifty 11-15 yr G-Sec Index,2692.61,2692.61,2687.65,2687.65,-4.44,-.16,-,-,-,-,-,2023-05-29
Nifty 15 yr and above G-Sec Index,2964.29,2967.09,2961.12,2961.12,-2.59,-.09,-,-,-,-,-,2023-05-29
Nifty Composite G-sec Index,2528.57,2528.62,2525.14,2525.14,-2.95,-.12,-,-,-,-,-,2023-05-29
Nifty 10 yr Benchmark G-Sec,2173.07,2173.48,2169.93,2169.94,-2.72,-.13,-,-,-,-,-,2023-05-29
Nifty 10 yr Benchmark G-Sec (Clean Price),882.97,883.14,881.67,881.67,-1.31,-.15,-,-,-,-,-,2023-05-29
Nifty 1D Rate Index,-,-,-,2137.73,1.1,.05,-,-,-,-,-,2023-05-29
Nifty50 USD,-,-,-,7798.97,35.96,.46,-,-,-,-,-,2023-05-29
Nifty 50,18606.65,18662.45,18575.5,18633.85,35.2,.19,234391323,21660.69,21.7,4.36,1.44,2023-05-30
Nifty Next 50,41961.6,42031.25,41834.85,41946.0,20.7,.05,190445651,7767.94,28.04,4.66,1.64,2023-05-30
Nifty 100,18500.15,18546.9,18470.1,18516.95,26.7,.14,424836974,29428.63,22.57,4.44,1.45,2023-05-30
Nifty 200,9746.5,9771.1,9730.9,9755.65,15.5,.16,886679385,37415.37,22.64,4.17,1.42,2023-05-30
Nifty 500,15784.25,15823.9,15759.35,15799.45,27.1,.17,1635982788,47006.41,22.61,4.13,1.38,2023-05-30
Nifty Midcap 50,9480.8,9514.95,9459.6,9506.4,36.05,.38,225300754,4617.68,22.63,2.76,1.3,2023-05-30
NIFTY Midcap 100,33598.1,33695.45,33541.45,33635.3,84.3,.25,461842411,7986.73,23.09,2.99,1.25,2023-05-30
NIFTY Smallcap 100,10054.65,10076.2,10032.35,10062.3,21.7,.22,583701900,4268.14,18.47,3.08,1.39,2023-05-30
