,S,K,T,LSTM_price
154,19745.0,14000.0,524.0,6736.29
155,19443.5,20600.0,50.0,12.24
156,19653.5,19700.0,6.0,116.88
157,20901.15,19400.0,0.0,1447.88
158,19545.75,21100.0,84.0,18.53
159,19638.3,21200.0,6.0,6.74
160,19574.9,19700.0,16.0,135.84
161,19672.35,21000.0,66.0,51.89
162,18817.4,17250.0,2.0,1552.1
163,20855.1,19000.0,9.0,1769.84
164,20969.4,22000.0,83.0,217.2
165,19745.0,20700.0,69.0,145.82
166,20937.7,21150.0,15.0,158.7
167,19230.6,19600.0,20.0,78.08
168,19322.55,20200.0,17.0,8.88
169,19996.35,19850.0,44.99999999999999,447.61
170,19659.9,19450.0,35.0,433.26
171,19512.35,21700.0,3.0,6.74
172,19675.45,20300.0,43.00000000000001,97.57
173,19783.4,18800.0,2.0,951.12
174,21731.4,21100.0,13.0,740.4
175,20103.1,19850.0,42.0,531.44
176,19395.3,19500.0,0.0,75.51
177,19794.0,20650.0,0.0,8.44
178,19664.7,20600.0,9.0,8.5
179,20906.4,20900.0,44.0,437.11
180,19653.5,21300.0,20.0,6.98
181,19396.45,20800.0,16.0,7.51
182,19434.55,19350.0,73.0,566.62
183,19365.25,19400.0,28.0,248.31
184,19355.9,19050.0,80.0,742.38
185,19047.25,24000.0,153.0,7.6
186,19811.85,24000.0,36.0,6.93
187,19716.45,19100.0,1.0,595.62
188,18857.25,20050.0,0.0,7.67
189,21182.7,22100.0,7.0,8.54
190,20901.15,20900.0,14.0,259.54
191,19443.5,20000.0,141.0,521.87
192,19716.45,19900.0,1.0,45.59
193,20901.15,20850.0,0.0,201.42
194,19386.7,19350.0,35.0,310.91
195,19889.7,19700.0,37.0,458.86
196,19436.1,18700.0,85.0,1106.48
197,19443.5,19700.0,8.0,65.53
198,19439.4,18900.0,16.0,580.27
199,20937.7,21900.0,50.0,114.54
200,19711.45,17000.0,10.0,2644.26
201,21441.35,22950.0,65.0,99.34
202,19545.75,18700.0,7.0,775.86
203,19411.75,18400.0,52.0,1192.49
204,19638.3,22000.0,272.0,276.45
205,19189.05,18100.0,27.0,1128.03
206,20937.7,21550.0,50.0,193.82
207,19751.05,19500.0,13.0,335.9
208,19811.5,20050.0,2.0,35.03
209,19731.75,20000.0,3.0,39.79
210,19624.7,18100.0,42.0,1621.21
211,21453.1,19250.0,16.0,2227.59
212,19406.7,19700.0,9.0,55.53
213,19993.2,20450.0,2.0,9.51
214,20686.8,20250.0,52.0,723.36
215,19675.45,19450.0,29.0,373.54
216,19545.75,19200.0,0.0,310.46
217,20267.9,19650.0,6.0,613.35
218,19122.15,19600.0,36.0,114.83
219,20133.15,19550.0,28.0,704.13
220,19753.8,20300.0,24.0,53.85
221,19140.9,18000.0,59.00000000000001,1320.56
222,21654.75,20150.0,8.0,1484.78
223,19811.85,20400.0,64.0,204.43
224,19783.4,18850.0,2.0,910.08
225,20969.4,20700.0,6.0,363.27
226,20103.1,19600.0,7.0,522.55
227,19413.75,21000.0,532.0,1190.31
228,20096.6,20050.0,29.0,311.23
229,20267.9,20250.0,55.00000000000001,445.38
230,19406.7,19400.0,79.0,541.87
231,21150.15,19750.0,36.0,1543.16
232,19753.8,19950.0,3.0,50.3
233,19439.4,20150.0,9.0,9.07
234,19306.05,19800.0,59.00000000000001,173.19
235,19811.35,19450.0,50.0,630.87
236,19398.5,18800.0,1.0,586.16
237,19517.0,20500.0,20.0,8.47
238,19711.45,18800.0,3.0,847.7
239,19436.1,19750.0,56.99999999999999,265.02
240,19672.35,20850.0,3.0,7.63
