,Index,Open Index Value,High Index Value,Low Index Value,Close,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield,TIMESTAMP,rt,rt2,sigma2,sigma3,sigma5,sigma20,sigma60,sigma110
1872,Nifty 50,17877.2,17884.75,17493.55,17604.35,-287.6,-1.61,476342611,40104.83,20.7,4.13,1.4,2023-01-27,-1.61,2.5921000000000003,4.0409899777158635,13.41403742353509,13.81675070340346,,,
1976,Nifty 50,17541.95,17709.15,17405.55,17648.95,44.6,.25,432434028,38159.88,20.73,4.14,1.39,2023-01-30,0.25,0.0625,20.878448218198592,15.6603448237898,15.011023949084887,12.071275169199248,,
2080,Nifty 50,17731.45,17735.7,17537.55,17662.15,13.2,.07,398338541,35023.7,20.73,4.14,1.39,2023-01-31,0.07,0.004900000000000001,2.020494988857889,16.285109763216212,13.590284765228432,11.863540431884042,,
2184,Nifty 50,17811.6,17972.2,17353.4,17616.3,-45.85,-.26,512870802,38486.19,20.68,4.13,1.4,2023-02-01,-0.26,0.06760000000000001,3.704240812906185,4.105946906622154,13.094304105220713,11.801371775750214,,
2288,Nifty 50,17517.1,17653.9,17445.95,17610.4,-5.9,-.03,490113567,37639.96,20.59,4.13,1.4,2023-02-02,-0.03,0.0009,2.5817435968739963,2.6861868885094387,11.849445556649476,11.349165886345547,,
2392,Nifty 50,17721.75,17870.3,17584.2,17854.05,243.65,1.38,424123037,34503.67,20.86,4.18,1.38,2023-02-03,1.38,1.9043999999999996,15.827210746053765,14.095573773351692,10.172946475824984,12.507385944228906,,
2496,Nifty 50,17818.55,17823.7,17698.35,17764.6,-89.45,-.5,282544790,21864.88,20.71,4.16,1.39,2023-02-06,-0.5,0.25,21.102947661405025,15.531348943346808,11.613046112024183,12.35631728477807,,
2600,Nifty 50,17790.1,17811.15,17652.55,17721.5,-43.1,-.24,354395693,23611.08,20.5,4.15,1.39,2023-02-07,-0.24,0.0576,2.9184927616836527,16.171233719169358,11.921744838738997,11.250851336208905,,
2704,Nifty 50,17750.3,17898.7,17744.15,17871.7,150.2,.85,290994265,23733.4,21.1,4.19,1.42,2023-02-08,0.85,0.7224999999999999,12.23521965475078,11.370329810520012,12.572670360746756,11.17636024925166,,
2808,Nifty 50,17885.5,17916.9,17779.8,17893.45,21.75,.12,260854055,21529.97,21.11,4.19,1.41,2023-02-09,0.12,0.0144,8.194229677034917,8.816189653132474,12.374176336225371,11.180014734949335,,
2912,Nifty 50,17847.55,17876.95,17801,17856.5,-36.95,-.21,231991834,17063.99,21.06,4.18,1.41,2023-02-10,-0.21,0.04409999999999999,3.704240812906178,8.610853616221801,8.281108621434692,11.180014734949335,,
3016,Nifty 50,17859.1,17880.7,17719.75,17770.9,-85.6,-.48,231276483,17406.31,21.05,4.16,1.42,2023-02-13,-0.48,0.2304,3.0307424832868697,4.770283010472227,8.205293413400888,11.107380192324477,,
3120,Nifty 50,17840.35,17954.55,17800.05,17929.85,158.95,.89,244512944,20579.8,21.21,4.2,1.35,2023-02-14,0.89,0.7921,15.378211859640892,11.520052083215598,9.81694249753965,11.53145688517877,,
3224,Nifty 50,17896.6,18034.1,17853.8,18015.85,86.0,.48,229273800,21457.34,21.31,4.22,1.41,2023-02-15,0.48,0.2304,4.602238585731923,11.162311588555484,8.6344774016729,11.204382037493422,,
3328,Nifty 50,18094.75,18134.75,18000.65,18035.85,20.0,.11,230246175,18891.55,21.26,4.23,1.38,2023-02-16,0.11,0.0121,4.153239699319049,6.19377106454542,8.637687190446293,10.968411917866687,,
3432,Nifty 50,17974.85,18034.25,17884.6,17944.2,-91.65,-.51,208053929,16998.33,21.15,4.2,1.4,2023-02-17,-0.51,0.2601,6.959482739399518,7.940957121153596,9.646555862068078,11.054403647415812,,
3536,Nifty 50,17965.55,18004.35,17818.4,17844.6,-99.6,-.56,174563233,14729.07,21.04,4.18,1.41,2023-02-20,-0.56,0.31360000000000005,0.5612486080159441,5.924829111459665,9.960162649274357,11.119433912134006,,
3640,Nifty 50,17905.8,17924.9,17800.3,17826.7,-17.9,-.1,198248205,15593.09,21.01,4.18,1.38,2023-02-21,-0.1,0.010000000000000002,5.163487193748022,4.006544645951162,6.914619295377006,10.928134621964968,,
3744,Nifty 50,17755.35,17772.5,17529.45,17554.3,-272.4,-1.53,204021979,17162.09,20.69,4.11,1.4,2023-02-22,-1.53,2.3409,16.051710189260206,11.588390742462902,10.024472055923942,12.069492336596344,,
3848,Nifty 50,17574.65,17620.05,17455.4,17511.25,-43.05,-.25,240807918,19313.68,20.64,4.1,1.4,2023-02-23,-0.25,0.0625,14.367964365211934,12.475720420079954,8.862042653925785,11.36952588929584,,
3952,Nifty 50,17591.35,17599.75,17421.8,17465.8,-45.45,-.26,209406363,16100.18,20.58,4.09,1.42,2023-02-24,-0.26,0.06760000000000001,0.1122497216029691,11.685837582304483,9.176371832047783,9.919097369800285,,
4056,Nifty 50,17428.6,17451.6,17299,17392.7,-73.1,-.42,246448847,16638.41,20.49,4.07,1.43,2023-02-27,-0.42,0.17639999999999997,1.7959955456514762,1.51433153569485,9.210908749955133,9.94526732196089,,
