,S,K,T,GRU_price
155,19443.5,20600.0,50.0,2.43
156,19653.5,19700.0,6.0,66.34
157,20901.15,19400.0,0.0,1461.77
158,19545.75,21100.0,84.0,23.43
159,19638.3,21200.0,6.0,2.43
160,19574.9,19700.0,16.0,87.09
161,19672.35,21000.0,66.0,47.66
162,18817.4,17250.0,2.0,1546.42
163,20855.1,19000.0,9.0,1842.59
164,20969.4,22000.0,83.0,167.35
165,19745.0,20700.0,69.0,125.08
166,20937.7,21150.0,15.0,109.05
167,19230.6,19600.0,20.0,45.01
168,19322.55,20200.0,17.0,2.43
169,19996.35,19850.0,44.99999999999999,402.53
170,19659.9,19450.0,35.0,430.51
171,19512.35,21700.0,3.0,2.43
172,19675.45,20300.0,43.00000000000001,78.97
173,19783.4,18800.0,2.0,923.4
174,21731.4,21100.0,13.0,716.02
175,20103.1,19850.0,42.0,473.8
176,19395.3,19500.0,0.0,39.4
177,19794.0,20650.0,0.0,2.43
178,19664.7,20600.0,9.0,2.43
179,20906.4,20900.0,44.0,424.49
180,19653.5,21300.0,20.0,2.43
181,19396.45,20800.0,16.0,2.43
182,19434.55,19350.0,73.0,523.48
183,19365.25,19400.0,28.0,214.11
184,19355.9,19050.0,80.0,724.38
185,19047.25,24000.0,153.0,2.43
186,19811.85,24000.0,36.0,2.43
187,19716.45,19100.0,1.0,515.76
188,18857.25,20050.0,0.0,2.43
189,21182.7,22100.0,7.0,2.43
190,20901.15,20900.0,14.0,226.18
191,19443.5,20000.0,141.0,492.18
192,19716.45,19900.0,1.0,23.84
193,20901.15,20850.0,0.0,159.66
194,19386.7,19350.0,35.0,287.76
195,19889.7,19700.0,37.0,414.69
196,19436.1,18700.0,85.0,1071.29
197,19443.5,19700.0,8.0,31.71
198,19439.4,18900.0,16.0,532.71
199,20937.7,21900.0,50.0,88.65
200,19711.45,17000.0,10.0,2684.2
201,21441.35,22950.0,65.0,69.76
202,19545.75,18700.0,7.0,761.27
203,19411.75,18400.0,52.0,1169.6
204,19638.3,22000.0,272.0,219.91
205,19189.05,18100.0,27.0,1099.13
206,20937.7,21550.0,50.0,145.73
207,19751.05,19500.0,13.0,281.61
208,19811.5,20050.0,2.0,17.03
209,19731.75,20000.0,3.0,15.72
210,19624.7,18100.0,42.0,1627.72
211,21453.1,19250.0,16.0,2267.07
212,19406.7,19700.0,9.0,31.02
213,19993.2,20450.0,2.0,2.43
214,20686.8,20250.0,52.0,777.05
215,19675.45,19450.0,29.0,391.13
216,19545.75,19200.0,0.0,288.67
217,20267.9,19650.0,6.0,571.63
218,19122.15,19600.0,36.0,71.82
219,20133.15,19550.0,28.0,686.06
220,19753.8,20300.0,24.0,40.08
221,19140.9,18000.0,59.00000000000001,1330.38
222,21654.75,20150.0,8.0,1501.8
223,19811.85,20400.0,64.0,144.74
224,19783.4,18850.0,2.0,879.94
225,20969.4,20700.0,6.0,318.54
226,20103.1,19600.0,7.0,455.17
227,19413.75,21000.0,532.0,1177.18
228,20096.6,20050.0,29.0,293.94
229,20267.9,20250.0,55.00000000000001,430.89
230,19406.7,19400.0,79.0,507.38
231,21150.15,19750.0,36.0,1649.63
232,19753.8,19950.0,3.0,34.81
233,19439.4,20150.0,9.0,2.43
234,19306.05,19800.0,59.00000000000001,126.76
235,19811.35,19450.0,50.0,598.63
236,19398.5,18800.0,1.0,514.24
237,19517.0,20500.0,20.0,2.43
238,19711.45,18800.0,3.0,804.35
239,19436.1,19750.0,56.99999999999999,217.79
240,19672.35,20850.0,3.0,2.43
241,18816.7,18150.0,9.0,620.94
242,19355.9,19350.0,3.0,87.96
243,20937.7,21600.0,1.0,2.43
244,19711.45,19750.0,44.99999999999999,313.89
245,19993.2,20550.0,16.0,15.5
